parameter,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat,run,n_subjects,divergences,metric,chains,warmup_per_chain,draws_per_chain,adapt_delta,max_depth_hits,min_bfmi,passed
"natural[18,4]",4.57648,0.0234896,2.06534,1.89544,1.96172,4.2059,8.44281,9880.35,5577.39,7.18943,1.00035,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[19,1]",0.0636128,0.000487289,0.0434131,0.0388287,0.0107872,0.0555997,0.144198,7110.94,5084.54,5.17427,1.00016,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[19,2]",0.65001,0.00305778,0.254012,0.258289,0.24831,0.639527,1.08597,6322.96,3351.14,4.6009,1.00073,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[19,3]",1.30346,0.0113675,0.667573,0.399787,0.670076,1.14808,2.42843,6728.78,3643.55,4.89619,1.00016,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[19,4]",0.0483118,0.00187603,0.131546,0.0218516,0.000598282,0.0167699,0.182684,9055.46,5526.55,6.5892,1.00005,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[20,1]",0.0610707,0.00085896,0.0581895,0.0394921,0.00572975,0.0424065,0.177254,3197.02,5105.97,2.32631,1.0008,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[20,2]",0.20806,0.000718337,0.0714964,0.06714,0.111426,0.197901,0.339119,9828.98,6908.73,7.15205,1.00005,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[20,3]",10.1327,0.0229847,2.33695,2.31652,6.54923,9.97548,14.1467,10973.3,6054.32,7.9847,1.00066,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[20,4]",7.03211,0.0229608,2.35111,2.30028,3.64097,6.75814,11.2812,12878.0,5885.8,9.37066,1.00134,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[21,1]",0.04462,0.000820126,0.0442756,0.0298453,0.00349531,0.0297631,0.137565,2837.02,5297.17,2.06436,1.00346,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
